Data,Otwarcie,Najwyższy,Najniższy,Zamknięcie,Ticker
2012-12-12,4.24,4.24,4.24,4.24,WIBOR_6M
2012-12-12,4.29,4.29,4.29,4.29,WIBOR_3M
2012-12-12,4.36,4.36,4.36,4.36,WIBOR_1M
2012-12-12,4.12,4.12,4.12,4.12,WIBID_ON
2012-12-11,4.41,4.41,4.41,4.41,WIBOR_ON
2012-12-11,4.27,4.27,4.27,4.27,WIBOR_6M
2012-12-11,4.32,4.32,4.32,4.32,WIBOR_3M
2012-12-11,4.37,4.37,4.37,4.37,WIBOR_1M
2012-12-11,4.13,4.13,4.13,4.13,WIBID_ON
2012-12-10,4.39,4.39,4.39,4.39,WIBOR_ON
2012-12-10,4.29,4.29,4.29,4.29,WIBOR_6M
2012-12-10,4.33,4.33,4.33,4.33,WIBOR_3M
2012-12-10,4.37,4.37,4.37,4.37,WIBOR_1M
2012-12-10,4.13,4.13,4.13,4.13,WIBID_ON
2012-12-07,4.42,4.42,4.42,4.42,WIBOR_ON
2012-12-07,4.31,4.31,4.31,4.31,WIBOR_6M
2012-12-07,4.35,4.35,4.35,4.35,WIBOR_3M
2012-12-07,4.4,4.4,4.4,4.4,WIBOR_1M
2012-12-07,4.14,4.14,4.14,4.14,WIBID_ON
2012-12-06,4.43,4.43,4.43,4.43,WIBOR_ON
2012-12-06,4.34,4.34,4.34,4.34,WIBOR_6M
2012-12-06,4.37,4.37,4.37,4.37,WIBOR_3M
2012-12-06,4.41,4.41,4.41,4.41,WIBOR_1M
2012-12-06,4.16,4.16,4.16,4.16,WIBID_ON
2012-12-05,4.54,4.54,4.54,4.54,WIBOR_ON
2012-12-05,4.37,4.37,4.37,4.37,WIBOR_6M
2012-12-05,4.4,4.4,4.4,4.4,WIBOR_3M
2012-12-05,4.43,4.43,4.43,4.43,WIBOR_1M
2012-12-05,4.24,4.24,4.24,4.24,WIBID_ON
2012-12-04,4.6,4.6,4.6,4.6,WIBOR_ON
2012-12-04,4.41,4.41,4.41,4.41,WIBOR_6M
2012-12-04,4.43,4.43,4.43,4.43,WIBOR_3M
2012-12-04,4.45,4.45,4.45,4.45,WIBOR_1M
2012-12-04,4.31,4.31,4.31,4.31,WIBID_ON
